"case_id","kernel_step","mission","expected","actual","passed","evidence"
"valid_preflight","preflight","mission.valid.local-tsf","GREEN","GREEN","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\preflight.valid.json"
"malformed_mission","preflight","mission.invalid-missing-artifacts","RED","RED","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\preflight.invalid.json"
"missing_approval","preflight","mission.restricted-missing-approval","TIM_REQUIRED","TIM_REQUIRED","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\preflight.approval-blocked.json"
"fixture_approval_not_authority","preflight","mission.restricted-missing-approval","TIM_REQUIRED","TIM_REQUIRED","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\preflight.fixture-not-authority.json"
"adapter_stub","worker_adapter","mission.valid.local-tsf","STUB_READY_CODEX_CLI_BLOCKED","STUB_READY_CODEX_CLI_BLOCKED","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\worker-instruction.valid.json"
"missing_artifact_verifier","postrun_verify","mission.valid.local-tsf","RED","RED","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\verifier.missing-artifact.json"
"green_verifier","postrun_verify","mission.valid.local-tsf","GREEN","GREEN","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\.codex-local\fixtures\overnight-hardening-dogfood\verifier.green.json"
"preservation_packet","preserve","mission.valid.local-tsf","packet_directory","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\docs\hq\enforcement_kernel\overnight_hardening_batch_v1\dogfood_audit\dogfood_preservation_packet_sample\tsf-kernel-fixture-valid-0001-preservation","True","C:\Users\codex-agent\Documents\Vacation\Thousand-Sunny-Fleet\docs\hq\enforcement_kernel\overnight_hardening_batch_v1\dogfood_audit\dogfood_preservation_packet_sample\tsf-kernel-fixture-valid-0001-preservation"
